A, iteration number, da_distance, objective_energy, objective_energy_unperturbed, column_constraint_energy, row_constraint_energy
204.82305913542672,10000000,982,1937.0,982.0,0.0,0.0
204.82305913542672,10000000,983,1939.0,983.0,0.0,0.0
204.82305913542672,10000000,992,1948.0,992.0,0.0,0.0
204.82305913542672,10000000,1011,1966.0,1011.0,0.0,0.0
204.82305913542672,10000000,1018,1970.0,1018.0,0.0,0.0
204.82305913542672,10000000,1022,1977.0,1022.0,0.0,0.0
204.82305913542672,10000000,1029,1982.0,1029.0,0.0,0.0
204.82305913542672,10000000,1028,1982.0,1028.0,0.0,0.0
204.82305913542672,10000000,1032,1986.0,1032.0,0.0,0.0
204.82305913542672,10000000,1033,1987.0,1033.0,0.0,0.0
204.82305913542672,10000000,1034,1989.0,1034.0,0.0,0.0
204.82305913542672,10000000,1034,1992.0,1034.0,0.0,0.0
204.82305913542672,10000000,1036,1992.0,1036.0,0.0,0.0
204.82305913542672,10000000,1045,1999.0,1045.0,0.0,0.0
204.82305913542672,10000000,1044,2000.0,1044.0,0.0,0.0
204.82305913542672,10000000,1043,2000.0,1043.0,0.0,0.0
204.82305913542672,10000000,1046,2000.0,1046.0,0.0,0.0
204.82305913542672,10000000,1047,2001.0,1047.0,0.0,0.0
204.82305913542672,10000000,1049,2003.0,1049.0,0.0,0.0
204.82305913542672,10000000,1051,2004.0,1051.0,0.0,0.0
204.82305913542672,10000000,1047,2004.0,1047.0,0.0,0.0
204.82305913542672,10000000,1052,2007.0,1052.0,0.0,0.0
204.82305913542672,10000000,1054,2008.0,1054.0,0.0,0.0
204.82305913542672,10000000,1056,2010.0,1056.0,0.0,0.0
204.82305913542672,10000000,1059,2011.0,1059.0,0.0,0.0
204.82305913542672,10000000,1057,2012.0,1057.0,0.0,0.0
204.82305913542672,10000000,1057,2012.0,1057.0,0.0,0.0
204.82305913542672,10000000,1062,2015.0,1062.0,0.0,0.0
204.82305913542672,10000000,1063,2017.0,1063.0,0.0,0.0
204.82305913542672,10000000,1061,2017.0,1061.0,0.0,0.0
204.82305913542672,10000000,1067,2021.0,1067.0,0.0,0.0
204.82305913542672,10000000,1068,2023.0,1068.0,0.0,0.0
204.82305913542672,10000000,1069,2026.0,1069.0,0.0,0.0
204.82305913542672,10000000,1071,2027.0,1071.0,0.0,0.0
204.82305913542672,10000000,1071,2029.0,1071.0,0.0,0.0
204.82305913542672,10000000,1080,2032.0,1080.0,0.0,0.0
204.82305913542672,10000000,1079,2033.0,1079.0,0.0,0.0
204.82305913542672,10000000,1080,2033.0,1080.0,0.0,0.0
204.82305913542672,10000000,1080,2033.0,1080.0,0.0,0.0
204.82305913542672,10000000,1078,2033.0,1078.0,0.0,0.0
204.82305913542672,10000000,1081,2034.0,1081.0,0.0,0.0
204.82305913542672,10000000,1080,2034.0,1080.0,0.0,0.0
204.82305913542672,10000000,1083,2036.0,1083.0,0.0,0.0
204.82305913542672,10000000,1080,2036.0,1080.0,0.0,0.0
204.82305913542672,10000000,1082,2036.0,1082.0,0.0,0.0
204.82305913542672,10000000,1082,2037.0,1082.0,0.0,0.0
204.82305913542672,10000000,1085,2038.0,1085.0,0.0,0.0
204.82305913542672,10000000,1087,2039.0,1087.0,0.0,0.0
204.82305913542672,10000000,1085,2039.0,1085.0,0.0,0.0
204.82305913542672,10000000,1085,2040.0,1085.0,0.0,0.0
204.82305913542672,10000000,1087,2040.0,1087.0,0.0,0.0
204.82305913542672,10000000,1089,2042.0,1089.0,0.0,0.0
204.82305913542672,10000000,1087,2043.0,1087.0,0.0,0.0
204.82305913542672,10000000,1090,2044.0,1090.0,0.0,0.0
204.82305913542672,10000000,1091,2045.0,1091.0,0.0,0.0
204.82305913542672,10000000,1093,2046.0,1093.0,0.0,0.0
204.82305913542672,10000000,1090,2046.0,1090.0,0.0,0.0
204.82305913542672,10000000,1089,2046.0,1089.0,0.0,0.0
204.82305913542672,10000000,1090,2046.0,1090.0,0.0,0.0
204.82305913542672,10000000,1090,2047.0,1090.0,0.0,0.0
