A, iteration number, da_distance, objective_energy, objective_energy_unperturbed, column_constraint_energy, row_constraint_energy
176.20301702919568,10000000,636,1785.0,636.0,0.0,0.0
176.20301702919568,10000000,635,1785.0,635.0,0.0,0.0
176.20301702919568,10000000,642,1787.0,642.0,0.0,0.0
176.20301702919568,10000000,642,1789.0,642.0,0.0,0.0
176.20301702919568,10000000,649,1797.0,649.0,0.0,0.0
176.20301702919568,10000000,651,1798.0,651.0,0.0,0.0
176.20301702919568,10000000,658,1805.0,658.0,0.0,0.0
176.20301702919568,10000000,658,1807.0,658.0,0.0,0.0
176.20301702919568,10000000,663,1810.0,663.0,0.0,0.0
176.20301702919568,10000000,664,1810.0,664.0,0.0,0.0
176.20301702919568,10000000,662,1810.0,662.0,0.0,0.0
176.20301702919568,10000000,661,1810.0,661.0,0.0,0.0
176.20301702919568,10000000,661,1811.0,661.0,0.0,0.0
176.20301702919568,10000000,662,1811.0,662.0,0.0,0.0
176.20301702919568,10000000,662,1811.0,662.0,0.0,0.0
176.20301702919568,10000000,663,1812.0,663.0,0.0,0.0
176.20301702919568,10000000,665,1813.0,665.0,0.0,0.0
176.20301702919568,10000000,663,1814.0,663.0,0.0,0.0
176.20301702919568,10000000,667,1814.0,667.0,0.0,0.0
176.20301702919568,10000000,666,1815.0,666.0,0.0,0.0
176.20301702919568,10000000,667,1815.0,667.0,0.0,0.0
176.20301702919568,10000000,667,1816.0,667.0,0.0,0.0
176.20301702919568,10000000,668,1816.0,668.0,0.0,0.0
176.20301702919568,10000000,670,1817.0,670.0,0.0,0.0
176.20301702919568,10000000,671,1818.0,671.0,0.0,0.0
176.20301702919568,10000000,673,1820.0,673.0,0.0,0.0
176.20301702919568,10000000,671,1820.0,671.0,0.0,0.0
176.20301702919568,10000000,672,1821.0,672.0,0.0,0.0
176.20301702919568,10000000,675,1822.0,675.0,0.0,0.0
176.20301702919568,10000000,671,1822.0,671.0,0.0,0.0
176.20301702919568,10000000,673,1822.0,673.0,0.0,0.0
176.20301702919568,10000000,676,1823.0,676.0,0.0,0.0
176.20301702919568,10000000,678,1824.0,678.0,0.0,0.0
176.20301702919568,10000000,677,1824.0,677.0,0.0,0.0
176.20301702919568,10000000,677,1825.0,677.0,0.0,0.0
176.20301702919568,10000000,680,1827.0,680.0,0.0,0.0
176.20301702919568,10000000,678,1827.0,678.0,0.0,0.0
176.20301702919568,10000000,681,1827.0,681.0,0.0,0.0
176.20301702919568,10000000,680,1828.0,680.0,0.0,0.0
176.20301702919568,10000000,680,1828.0,680.0,0.0,0.0
176.20301702919568,10000000,680,1828.0,680.0,0.0,0.0
176.20301702919568,10000000,679,1829.0,679.0,0.0,0.0
176.20301702919568,10000000,681,1829.0,681.0,0.0,0.0
176.20301702919568,10000000,680,1829.0,680.0,0.0,0.0
176.20301702919568,10000000,681,1829.0,681.0,0.0,0.0
176.20301702919568,10000000,682,1830.0,682.0,0.0,0.0
176.20301702919568,10000000,682,1830.0,682.0,0.0,0.0
176.20301702919568,10000000,683,1831.0,683.0,0.0,0.0
176.20301702919568,10000000,683,1832.0,683.0,0.0,0.0
176.20301702919568,10000000,683,1832.0,683.0,0.0,0.0
176.20301702919568,10000000,685,1832.0,685.0,0.0,0.0
176.20301702919568,10000000,683,1832.0,683.0,0.0,0.0
176.20301702919568,10000000,685,1833.0,685.0,0.0,0.0
176.20301702919568,10000000,682,1833.0,682.0,0.0,0.0
176.20301702919568,10000000,687,1834.0,687.0,0.0,0.0
176.20301702919568,10000000,687,1834.0,687.0,0.0,0.0
176.20301702919568,10000000,686,1834.0,686.0,0.0,0.0
176.20301702919568,10000000,686,1835.0,686.0,0.0,0.0
176.20301702919568,10000000,684,1835.0,684.0,0.0,0.0
176.20301702919568,10000000,688,1836.0,688.0,0.0,0.0
176.20301702919568,10000000,686,1836.0,686.0,0.0,0.0
176.20301702919568,10000000,688,1836.0,688.0,0.0,0.0
176.20301702919568,10000000,688,1837.0,688.0,0.0,0.0
176.20301702919568,10000000,692,1838.0,692.0,0.0,0.0
176.20301702919568,10000000,690,1838.0,690.0,0.0,0.0
176.20301702919568,10000000,689,1838.0,689.0,0.0,0.0
176.20301702919568,10000000,689,1838.0,689.0,0.0,0.0
176.20301702919568,10000000,690,1840.0,690.0,0.0,0.0
176.20301702919568,10000000,692,1840.0,692.0,0.0,0.0
176.20301702919568,10000000,694,1840.0,694.0,0.0,0.0
176.20301702919568,10000000,692,1840.0,692.0,0.0,0.0
176.20301702919568,10000000,694,1841.0,694.0,0.0,0.0
176.20301702919568,10000000,693,1841.0,693.0,0.0,0.0
176.20301702919568,10000000,694,1842.0,694.0,0.0,0.0
176.20301702919568,10000000,693,1842.0,693.0,0.0,0.0
176.20301702919568,10000000,693,1842.0,693.0,0.0,0.0
176.20301702919568,10000000,695,1843.0,695.0,0.0,0.0
176.20301702919568,10000000,696,1843.0,696.0,0.0,0.0
176.20301702919568,10000000,695,1844.0,695.0,0.0,0.0
176.20301702919568,10000000,698,1844.0,698.0,0.0,0.0
176.20301702919568,10000000,696,1845.0,696.0,0.0,0.0
176.20301702919568,10000000,695,1845.0,695.0,0.0,0.0
176.20301702919568,10000000,698,1846.0,698.0,0.0,0.0
176.20301702919568,10000000,698,1847.0,698.0,0.0,0.0
176.20301702919568,10000000,700,1847.0,700.0,0.0,0.0
176.20301702919568,10000000,698,1848.0,698.0,0.0,0.0
176.20301702919568,10000000,700,1848.0,700.0,0.0,0.0
176.20301702919568,10000000,699,1848.0,699.0,0.0,0.0
176.20301702919568,10000000,700,1848.0,700.0,0.0,0.0
176.20301702919568,10000000,701,1849.0,701.0,0.0,0.0
176.20301702919568,10000000,701,1849.0,701.0,0.0,0.0
176.20301702919568,10000000,702,1851.0,702.0,0.0,0.0
176.20301702919568,10000000,706,1852.0,706.0,0.0,0.0
176.20301702919568,10000000,704,1852.0,704.0,0.0,0.0
176.20301702919568,10000000,703,1852.0,703.0,0.0,0.0
176.20301702919568,10000000,703,1852.0,703.0,0.0,0.0
176.20301702919568,10000000,704,1853.0,704.0,0.0,0.0
176.20301702919568,10000000,707,1854.0,707.0,0.0,0.0
176.20301702919568,10000000,709,1854.0,709.0,0.0,0.0
176.20301702919568,10000000,708,1854.0,708.0,0.0,0.0
176.20301702919568,10000000,710,1855.0,710.0,0.0,0.0
176.20301702919568,10000000,707,1856.0,707.0,0.0,0.0
176.20301702919568,10000000,710,1857.0,710.0,0.0,0.0
176.20301702919568,10000000,709,1857.0,709.0,0.0,0.0
176.20301702919568,10000000,710,1858.0,710.0,0.0,0.0
176.20301702919568,10000000,711,1858.0,711.0,0.0,0.0
176.20301702919568,10000000,711,1859.0,711.0,0.0,0.0
176.20301702919568,10000000,714,1860.0,714.0,0.0,0.0
176.20301702919568,10000000,713,1860.0,713.0,0.0,0.0
176.20301702919568,10000000,713,1860.0,713.0,0.0,0.0
176.20301702919568,10000000,713,1860.0,713.0,0.0,0.0
176.20301702919568,10000000,712,1860.0,712.0,0.0,0.0
176.20301702919568,10000000,714,1861.0,714.0,0.0,0.0
176.20301702919568,10000000,713,1861.0,713.0,0.0,0.0
176.20301702919568,10000000,712,1861.0,712.0,0.0,0.0
176.20301702919568,10000000,715,1862.0,715.0,0.0,0.0
176.20301702919568,10000000,713,1862.0,713.0,0.0,0.0
176.20301702919568,10000000,715,1863.0,715.0,0.0,0.0
176.20301702919568,10000000,715,1864.0,715.0,0.0,0.0
176.20301702919568,10000000,718,1865.0,718.0,0.0,0.0
