A, iteration number, da_distance, objective_energy, objective_energy_unperturbed, column_constraint_energy, row_constraint_energy
119.0550254279908,10000000,564,852.0,564.0,0.0,0.0
119.0550254279908,10000000,566,853.0,566.0,0.0,0.0
119.0550254279908,10000000,574,861.0,574.0,0.0,0.0
119.0550254279908,10000000,585,872.0,585.0,0.0,0.0
119.0550254279908,10000000,585,873.0,585.0,0.0,0.0
119.0550254279908,10000000,587,875.0,587.0,0.0,0.0
119.0550254279908,10000000,597,884.0,597.0,0.0,0.0
119.0550254279908,10000000,597,885.0,597.0,0.0,0.0
119.0550254279908,10000000,599,886.0,599.0,0.0,0.0
119.0550254279908,10000000,603,888.0,603.0,0.0,0.0
119.0550254279908,10000000,602,888.0,602.0,0.0,0.0
119.0550254279908,10000000,603,891.0,603.0,0.0,0.0
119.0550254279908,10000000,604,892.0,604.0,0.0,0.0
119.0550254279908,10000000,607,895.0,607.0,0.0,0.0
119.0550254279908,10000000,610,897.0,610.0,0.0,0.0
119.0550254279908,10000000,609,897.0,609.0,0.0,0.0
119.0550254279908,10000000,614,899.0,614.0,0.0,0.0
119.0550254279908,10000000,615,901.0,615.0,0.0,0.0
119.0550254279908,10000000,615,901.0,615.0,0.0,0.0
119.0550254279908,10000000,616,903.0,616.0,0.0,0.0
119.0550254279908,10000000,617,904.0,617.0,0.0,0.0
119.0550254279908,10000000,616,904.0,616.0,0.0,0.0
119.0550254279908,10000000,618,905.0,618.0,0.0,0.0
119.0550254279908,10000000,617,905.0,617.0,0.0,0.0
119.0550254279908,10000000,620,907.0,620.0,0.0,0.0
119.0550254279908,10000000,623,909.0,623.0,0.0,0.0
119.0550254279908,10000000,625,910.0,625.0,0.0,0.0
119.0550254279908,10000000,627,912.0,627.0,0.0,0.0
119.0550254279908,10000000,629,914.0,629.0,0.0,0.0
119.0550254279908,10000000,630,914.0,630.0,0.0,0.0
119.0550254279908,10000000,629,916.0,629.0,0.0,0.0
119.0550254279908,10000000,631,918.0,631.0,0.0,0.0
119.0550254279908,10000000,630,918.0,630.0,0.0,0.0
119.0550254279908,10000000,630,918.0,630.0,0.0,0.0
119.0550254279908,10000000,632,920.0,632.0,0.0,0.0
119.0550254279908,10000000,633,921.0,633.0,0.0,0.0
119.0550254279908,10000000,634,921.0,634.0,0.0,0.0
119.0550254279908,10000000,634,922.0,634.0,0.0,0.0
119.0550254279908,10000000,635,922.0,635.0,0.0,0.0
119.0550254279908,10000000,638,922.0,638.0,0.0,0.0
119.0550254279908,10000000,635,923.0,635.0,0.0,0.0
119.0550254279908,10000000,639,924.0,639.0,0.0,0.0
119.0550254279908,10000000,635,924.0,635.0,0.0,0.0
119.0550254279908,10000000,638,925.0,638.0,0.0,0.0
119.0550254279908,10000000,638,926.0,638.0,0.0,0.0
119.0550254279908,10000000,639,927.0,639.0,0.0,0.0
119.0550254279908,10000000,640,927.0,640.0,0.0,0.0
119.0550254279908,10000000,641,927.0,641.0,0.0,0.0
119.0550254279908,10000000,641,928.0,641.0,0.0,0.0
119.0550254279908,10000000,640,928.0,640.0,0.0,0.0
119.0550254279908,10000000,641,929.0,641.0,0.0,0.0
119.0550254279908,10000000,642,929.0,642.0,0.0,0.0
119.0550254279908,10000000,643,930.0,643.0,0.0,0.0
119.0550254279908,10000000,642,930.0,642.0,0.0,0.0
119.0550254279908,10000000,644,930.0,644.0,0.0,0.0
119.0550254279908,10000000,642,930.0,642.0,0.0,0.0
119.0550254279908,10000000,646,931.0,646.0,0.0,0.0
119.0550254279908,10000000,646,932.0,646.0,0.0,0.0
119.0550254279908,10000000,644,932.0,644.0,0.0,0.0
119.0550254279908,10000000,646,932.0,646.0,0.0,0.0
119.0550254279908,10000000,645,933.0,645.0,0.0,0.0
119.0550254279908,10000000,645,933.0,645.0,0.0,0.0
119.0550254279908,10000000,647,934.0,647.0,0.0,0.0
119.0550254279908,10000000,647,934.0,647.0,0.0,0.0
119.0550254279908,10000000,648,935.0,648.0,0.0,0.0
119.0550254279908,10000000,647,935.0,647.0,0.0,0.0
119.0550254279908,10000000,650,935.0,650.0,0.0,0.0
119.0550254279908,10000000,649,936.0,649.0,0.0,0.0
119.0550254279908,10000000,648,936.0,648.0,0.0,0.0
119.0550254279908,10000000,651,939.0,651.0,0.0,0.0
119.0550254279908,10000000,653,940.0,653.0,0.0,0.0
119.0550254279908,10000000,652,940.0,652.0,0.0,0.0
119.0550254279908,10000000,654,941.0,654.0,0.0,0.0
119.0550254279908,10000000,654,941.0,654.0,0.0,0.0
119.0550254279908,10000000,656,941.0,656.0,0.0,0.0
119.0550254279908,10000000,656,942.0,656.0,0.0,0.0
119.0550254279908,10000000,657,943.0,657.0,0.0,0.0
119.0550254279908,10000000,657,943.0,657.0,0.0,0.0
119.0550254279908,10000000,657,944.0,657.0,0.0,0.0
119.0550254279908,10000000,658,944.0,658.0,0.0,0.0
119.0550254279908,10000000,658,945.0,658.0,0.0,0.0
119.0550254279908,10000000,661,946.0,661.0,0.0,0.0
119.0550254279908,10000000,662,947.0,662.0,0.0,0.0
119.0550254279908,10000000,661,947.0,661.0,0.0,0.0
119.0550254279908,10000000,663,949.0,663.0,0.0,0.0
119.0550254279908,10000000,661,949.0,661.0,0.0,0.0
119.0550254279908,10000000,663,949.0,663.0,0.0,0.0
119.0550254279908,10000000,663,950.0,663.0,0.0,0.0
119.0550254279908,10000000,661,950.0,661.0,0.0,0.0
119.0550254279908,10000000,664,950.0,664.0,0.0,0.0
119.0550254279908,10000000,664,952.0,664.0,0.0,0.0
119.0550254279908,10000000,668,954.0,668.0,0.0,0.0
119.0550254279908,10000000,666,954.0,666.0,0.0,0.0
119.0550254279908,10000000,668,954.0,668.0,0.0,0.0
119.0550254279908,10000000,666,955.0,666.0,0.0,0.0
119.0550254279908,10000000,669,956.0,669.0,0.0,0.0
119.0550254279908,10000000,667,956.0,667.0,0.0,0.0
119.0550254279908,10000000,670,957.0,670.0,0.0,0.0
119.0550254279908,10000000,669,957.0,669.0,0.0,0.0
119.0550254279908,10000000,670,957.0,670.0,0.0,0.0
119.0550254279908,10000000,673,958.0,673.0,0.0,0.0
119.0550254279908,10000000,670,958.0,670.0,0.0,0.0
119.0550254279908,10000000,672,958.0,672.0,0.0,0.0
119.0550254279908,10000000,674,959.0,674.0,0.0,0.0
119.0550254279908,10000000,673,960.0,673.0,0.0,0.0
119.0550254279908,10000000,675,960.0,675.0,0.0,0.0
119.0550254279908,10000000,674,960.0,674.0,0.0,0.0
119.0550254279908,10000000,674,961.0,674.0,0.0,0.0
119.0550254279908,10000000,674,961.0,674.0,0.0,0.0
119.0550254279908,10000000,675,961.0,675.0,0.0,0.0
119.0550254279908,10000000,673,961.0,673.0,0.0,0.0
119.0550254279908,10000000,676,961.0,676.0,0.0,0.0
119.0550254279908,10000000,676,962.0,676.0,0.0,0.0
119.0550254279908,10000000,674,962.0,674.0,0.0,0.0
119.0550254279908,10000000,676,963.0,676.0,0.0,0.0
