A, iteration number, da_distance, objective_energy, objective_energy_unperturbed, column_constraint_energy, row_constraint_energy
255.82809973824826,10000000,617,2088.0,617.0,0.0,0.0
255.82809973824826,10000000,638,2105.0,638.0,0.0,0.0
255.82809973824826,10000000,656,2123.0,656.0,0.0,0.0
255.82809973824826,10000000,656,2124.0,656.0,0.0,0.0
255.82809973824826,10000000,658,2126.0,658.0,0.0,0.0
255.82809973824826,10000000,659,2127.0,659.0,0.0,0.0
255.82809973824826,10000000,665,2133.0,665.0,0.0,0.0
255.82809973824826,10000000,666,2135.0,666.0,0.0,0.0
255.82809973824826,10000000,668,2137.0,668.0,0.0,0.0
255.82809973824826,10000000,671,2138.0,671.0,0.0,0.0
255.82809973824826,10000000,670,2138.0,670.0,0.0,0.0
255.82809973824826,10000000,669,2139.0,669.0,0.0,0.0
255.82809973824826,10000000,672,2140.0,672.0,0.0,0.0
255.82809973824826,10000000,674,2143.0,674.0,0.0,0.0
255.82809973824826,10000000,676,2144.0,676.0,0.0,0.0
255.82809973824826,10000000,676,2146.0,676.0,0.0,0.0
255.82809973824826,10000000,679,2146.0,679.0,0.0,0.0
255.82809973824826,10000000,678,2147.0,678.0,0.0,0.0
255.82809973824826,10000000,680,2148.0,680.0,0.0,0.0
255.82809973824826,10000000,680,2149.0,680.0,0.0,0.0
255.82809973824826,10000000,681,2149.0,681.0,0.0,0.0
255.82809973824826,10000000,682,2151.0,682.0,0.0,0.0
255.82809973824826,10000000,686,2152.0,686.0,0.0,0.0
255.82809973824826,10000000,690,2157.0,690.0,0.0,0.0
255.82809973824826,10000000,691,2159.0,691.0,0.0,0.0
255.82809973824826,10000000,692,2160.0,692.0,0.0,0.0
255.82809973824826,10000000,692,2161.0,692.0,0.0,0.0
255.82809973824826,10000000,694,2161.0,694.0,0.0,0.0
255.82809973824826,10000000,693,2161.0,693.0,0.0,0.0
255.82809973824826,10000000,695,2161.0,695.0,0.0,0.0
255.82809973824826,10000000,695,2162.0,695.0,0.0,0.0
255.82809973824826,10000000,694,2162.0,694.0,0.0,0.0
255.82809973824826,10000000,697,2163.0,697.0,0.0,0.0
255.82809973824826,10000000,694,2163.0,694.0,0.0,0.0
255.82809973824826,10000000,694,2163.0,694.0,0.0,0.0
255.82809973824826,10000000,698,2166.0,698.0,0.0,0.0
255.82809973824826,10000000,700,2166.0,700.0,0.0,0.0
255.82809973824826,10000000,699,2167.0,699.0,0.0,0.0
255.82809973824826,10000000,703,2169.0,703.0,0.0,0.0
255.82809973824826,10000000,703,2169.0,703.0,0.0,0.0
255.82809973824826,10000000,701,2169.0,701.0,0.0,0.0
255.82809973824826,10000000,703,2170.0,703.0,0.0,0.0
255.82809973824826,10000000,702,2173.0,702.0,0.0,0.0
255.82809973824826,10000000,705,2174.0,705.0,0.0,0.0
255.82809973824826,10000000,707,2176.0,707.0,0.0,0.0
255.82809973824826,10000000,706,2176.0,706.0,0.0,0.0
255.82809973824826,10000000,709,2177.0,709.0,0.0,0.0
255.82809973824826,10000000,708,2178.0,708.0,0.0,0.0
255.82809973824826,10000000,709,2178.0,709.0,0.0,0.0
255.82809973824826,10000000,711,2179.0,711.0,0.0,0.0
255.82809973824826,10000000,714,2180.0,714.0,0.0,0.0
255.82809973824826,10000000,716,2181.0,716.0,0.0,0.0
255.82809973824826,10000000,716,2182.0,716.0,0.0,0.0
255.82809973824826,10000000,716,2183.0,716.0,0.0,0.0
255.82809973824826,10000000,719,2184.0,719.0,0.0,0.0
255.82809973824826,10000000,719,2186.0,719.0,0.0,0.0
255.82809973824826,10000000,717,2186.0,717.0,0.0,0.0
255.82809973824826,10000000,719,2187.0,719.0,0.0,0.0
255.82809973824826,10000000,720,2188.0,720.0,0.0,0.0
255.82809973824826,10000000,721,2188.0,721.0,0.0,0.0
255.82809973824826,10000000,718,2188.0,718.0,0.0,0.0
255.82809973824826,10000000,721,2189.0,721.0,0.0,0.0
255.82809973824826,10000000,722,2190.0,722.0,0.0,0.0
255.82809973824826,10000000,721,2190.0,721.0,0.0,0.0
255.82809973824826,10000000,724,2191.0,724.0,0.0,0.0
255.82809973824826,10000000,723,2191.0,723.0,0.0,0.0
255.82809973824826,10000000,726,2192.0,726.0,0.0,0.0
255.82809973824826,10000000,723,2192.0,723.0,0.0,0.0
255.82809973824826,10000000,724,2192.0,724.0,0.0,0.0
255.82809973824826,10000000,725,2193.0,725.0,0.0,0.0
255.82809973824826,10000000,726,2194.0,726.0,0.0,0.0
255.82809973824826,10000000,726,2194.0,726.0,0.0,0.0
255.82809973824826,10000000,727,2194.0,727.0,0.0,0.0
255.82809973824826,10000000,727,2195.0,727.0,0.0,0.0
255.82809973824826,10000000,728,2195.0,728.0,0.0,0.0
255.82809973824826,10000000,724,2196.0,724.0,0.0,0.0
255.82809973824826,10000000,728,2196.0,728.0,0.0,0.0
255.82809973824826,10000000,732,2198.0,732.0,0.0,0.0
255.82809973824826,10000000,731,2198.0,731.0,0.0,0.0
255.82809973824826,10000000,730,2198.0,730.0,0.0,0.0
255.82809973824826,10000000,729,2198.0,729.0,0.0,0.0
255.82809973824826,10000000,733,2199.0,733.0,0.0,0.0
255.82809973824826,10000000,732,2200.0,732.0,0.0,0.0
255.82809973824826,10000000,732,2200.0,732.0,0.0,0.0
255.82809973824826,10000000,732,2200.0,732.0,0.0,0.0
255.82809973824826,10000000,732,2201.0,732.0,0.0,0.0
255.82809973824826,10000000,734,2202.0,734.0,0.0,0.0
255.82809973824826,10000000,734,2202.0,734.0,0.0,0.0
255.82809973824826,10000000,738,2205.0,738.0,0.0,0.0
255.82809973824826,10000000,735,2205.0,735.0,0.0,0.0
255.82809973824826,10000000,737,2206.0,737.0,0.0,0.0
255.82809973824826,10000000,736,2206.0,736.0,0.0,0.0
255.82809973824826,10000000,740,2208.0,740.0,0.0,0.0
255.82809973824826,10000000,740,2208.0,740.0,0.0,0.0
255.82809973824826,10000000,745,2209.0,745.0,0.0,0.0
255.82809973824826,10000000,741,2209.0,741.0,0.0,0.0
255.82809973824826,10000000,745,2210.0,745.0,0.0,0.0
255.82809973824826,10000000,741,2210.0,741.0,0.0,0.0
255.82809973824826,10000000,742,2211.0,742.0,0.0,0.0
255.82809973824826,10000000,743,2212.0,743.0,0.0,0.0
255.82809973824826,10000000,742,2212.0,742.0,0.0,0.0
255.82809973824826,10000000,746,2213.0,746.0,0.0,0.0
255.82809973824826,10000000,746,2214.0,746.0,0.0,0.0
255.82809973824826,10000000,746,2214.0,746.0,0.0,0.0
255.82809973824826,10000000,747,2214.0,747.0,0.0,0.0
255.82809973824826,10000000,746,2216.0,746.0,0.0,0.0
255.82809973824826,10000000,748,2216.0,748.0,0.0,0.0
255.82809973824826,10000000,748,2216.0,748.0,0.0,0.0
255.82809973824826,10000000,747,2216.0,747.0,0.0,0.0
255.82809973824826,10000000,749,2216.0,749.0,0.0,0.0
255.82809973824826,10000000,749,2216.0,749.0,0.0,0.0
255.82809973824826,10000000,751,2218.0,751.0,0.0,0.0
255.82809973824826,10000000,752,2218.0,752.0,0.0,0.0
255.82809973824826,10000000,751,2219.0,751.0,0.0,0.0
255.82809973824826,10000000,751,2219.0,751.0,0.0,0.0
255.82809973824826,10000000,753,2220.0,753.0,0.0,0.0
255.82809973824826,10000000,758,2222.0,758.0,0.0,0.0
255.82809973824826,10000000,757,2225.0,757.0,0.0,0.0
255.82809973824826,10000000,759,2226.0,759.0,0.0,0.0
255.82809973824826,10000000,761,2227.0,761.0,0.0,0.0
255.82809973824826,10000000,759,2227.0,759.0,0.0,0.0
255.82809973824826,10000000,759,2229.0,759.0,0.0,0.0
255.82809973824826,10000000,763,2231.0,763.0,0.0,0.0
255.82809973824826,10000000,766,2233.0,766.0,0.0,0.0
255.82809973824826,10000000,765,2234.0,765.0,0.0,0.0
255.82809973824826,10000000,766,2235.0,766.0,0.0,0.0
255.82809973824826,10000000,767,2235.0,767.0,0.0,0.0
255.82809973824826,10000000,776,2244.0,776.0,0.0,0.0
269.26418425818645,10000000,632,2101.0,632.0,0.0,0.0
269.26418425818645,10000000,640,2108.0,640.0,0.0,0.0
269.26418425818645,10000000,648,2117.0,648.0,0.0,0.0
269.26418425818645,10000000,652,2121.0,652.0,0.0,0.0
269.26418425818645,10000000,663,2131.0,663.0,0.0,0.0
269.26418425818645,10000000,664,2131.0,664.0,0.0,0.0
269.26418425818645,10000000,664,2133.0,664.0,0.0,0.0
269.26418425818645,10000000,667,2133.0,667.0,0.0,0.0
269.26418425818645,10000000,665,2133.0,665.0,0.0,0.0
269.26418425818645,10000000,667,2134.0,667.0,0.0,0.0
269.26418425818645,10000000,666,2134.0,666.0,0.0,0.0
269.26418425818645,10000000,666,2135.0,666.0,0.0,0.0
269.26418425818645,10000000,673,2140.0,673.0,0.0,0.0
269.26418425818645,10000000,671,2140.0,671.0,0.0,0.0
269.26418425818645,10000000,672,2141.0,672.0,0.0,0.0
