A, iteration number, da_distance, objective_energy, objective_energy_unperturbed, column_constraint_energy, row_constraint_energy
217.198203233199,10000000,1416,2566.0,1416.0,0.0,0.0
217.198203233199,10000000,1429,2579.0,1429.0,0.0,0.0
217.198203233199,10000000,1441,2593.0,1441.0,0.0,0.0
217.198203233199,10000000,1448,2600.0,1448.0,0.0,0.0
217.198203233199,10000000,1456,2606.0,1456.0,0.0,0.0
217.198203233199,10000000,1466,2616.0,1466.0,0.0,0.0
217.198203233199,10000000,1465,2617.0,1465.0,0.0,0.0
217.198203233199,10000000,1469,2620.0,1469.0,0.0,0.0
217.198203233199,10000000,1474,2624.0,1474.0,0.0,0.0
217.198203233199,10000000,1475,2626.0,1475.0,0.0,0.0
217.198203233199,10000000,1478,2628.0,1478.0,0.0,0.0
217.198203233199,10000000,1478,2629.0,1478.0,0.0,0.0
217.198203233199,10000000,1478,2629.0,1478.0,0.0,0.0
217.198203233199,10000000,1479,2630.0,1479.0,0.0,0.0
217.198203233199,10000000,1482,2632.0,1482.0,0.0,0.0
217.198203233199,10000000,1482,2633.0,1482.0,0.0,0.0
217.198203233199,10000000,1486,2637.0,1486.0,0.0,0.0
217.198203233199,10000000,1487,2637.0,1487.0,0.0,0.0
217.198203233199,10000000,1487,2637.0,1487.0,0.0,0.0
217.198203233199,10000000,1491,2642.0,1491.0,0.0,0.0
217.198203233199,10000000,1491,2643.0,1491.0,0.0,0.0
217.198203233199,10000000,1493,2645.0,1493.0,0.0,0.0
217.198203233199,10000000,1495,2646.0,1495.0,0.0,0.0
217.198203233199,10000000,1499,2647.0,1499.0,0.0,0.0
217.198203233199,10000000,1497,2648.0,1497.0,0.0,0.0
217.198203233199,10000000,1496,2648.0,1496.0,0.0,0.0
217.198203233199,10000000,1499,2650.0,1499.0,0.0,0.0
217.198203233199,10000000,1501,2651.0,1501.0,0.0,0.0
217.198203233199,10000000,1504,2653.0,1504.0,0.0,0.0
217.198203233199,10000000,1505,2654.0,1505.0,0.0,0.0
217.198203233199,10000000,1504,2655.0,1504.0,0.0,0.0
217.198203233199,10000000,1509,2659.0,1509.0,0.0,0.0
217.198203233199,10000000,1509,2660.0,1509.0,0.0,0.0
217.198203233199,10000000,1513,2662.0,1513.0,0.0,0.0
217.198203233199,10000000,1512,2662.0,1512.0,0.0,0.0
217.198203233199,10000000,1511,2662.0,1511.0,0.0,0.0
217.198203233199,10000000,1514,2663.0,1514.0,0.0,0.0
217.198203233199,10000000,1515,2664.0,1515.0,0.0,0.0
217.198203233199,10000000,1513,2664.0,1513.0,0.0,0.0
217.198203233199,10000000,1515,2665.0,1515.0,0.0,0.0
217.198203233199,10000000,1515,2667.0,1515.0,0.0,0.0
217.198203233199,10000000,1514,2667.0,1514.0,0.0,0.0
217.198203233199,10000000,1518,2668.0,1518.0,0.0,0.0
217.198203233199,10000000,1519,2669.0,1519.0,0.0,0.0
217.198203233199,10000000,1520,2669.0,1520.0,0.0,0.0
217.198203233199,10000000,1521,2671.0,1521.0,0.0,0.0
217.198203233199,10000000,1522,2671.0,1522.0,0.0,0.0
217.198203233199,10000000,1523,2673.0,1523.0,0.0,0.0
217.198203233199,10000000,1525,2674.0,1525.0,0.0,0.0
217.198203233199,10000000,1523,2675.0,1523.0,0.0,0.0
217.198203233199,10000000,1524,2675.0,1524.0,0.0,0.0
217.198203233199,10000000,1525,2675.0,1525.0,0.0,0.0
217.198203233199,10000000,1524,2676.0,1524.0,0.0,0.0
217.198203233199,10000000,1528,2677.0,1528.0,0.0,0.0
217.198203233199,10000000,1526,2678.0,1526.0,0.0,0.0
217.198203233199,10000000,1526,2678.0,1526.0,0.0,0.0
217.198203233199,10000000,1528,2679.0,1528.0,0.0,0.0
217.198203233199,10000000,1527,2679.0,1527.0,0.0,0.0
217.198203233199,10000000,1530,2679.0,1530.0,0.0,0.0
217.198203233199,10000000,1530,2679.0,1530.0,0.0,0.0
217.198203233199,10000000,1530,2680.0,1530.0,0.0,0.0
217.198203233199,10000000,1531,2681.0,1531.0,0.0,0.0
217.198203233199,10000000,1532,2683.0,1532.0,0.0,0.0
217.198203233199,10000000,1532,2684.0,1532.0,0.0,0.0
217.198203233199,10000000,1534,2684.0,1534.0,0.0,0.0
217.198203233199,10000000,1532,2685.0,1532.0,0.0,0.0
217.198203233199,10000000,1533,2685.0,1533.0,0.0,0.0
217.198203233199,10000000,1535,2685.0,1535.0,0.0,0.0
217.198203233199,10000000,1536,2686.0,1536.0,0.0,0.0
217.198203233199,10000000,1538,2687.0,1538.0,0.0,0.0
217.198203233199,10000000,1539,2687.0,1539.0,0.0,0.0
217.198203233199,10000000,-1,2254.0,1256.0,1.0,1.0
217.198203233199,10000000,1536,2689.0,1536.0,0.0,0.0
217.198203233199,10000000,1538,2689.0,1538.0,0.0,0.0
217.198203233199,10000000,1538,2689.0,1538.0,0.0,0.0
217.198203233199,10000000,1541,2690.0,1541.0,0.0,0.0
217.198203233199,10000000,1543,2692.0,1543.0,0.0,0.0
217.198203233199,10000000,1543,2692.0,1543.0,0.0,0.0
217.198203233199,10000000,1540,2692.0,1540.0,0.0,0.0
217.198203233199,10000000,1544,2693.0,1544.0,0.0,0.0
217.198203233199,10000000,1543,2693.0,1543.0,0.0,0.0
217.198203233199,10000000,1542,2693.0,1542.0,0.0,0.0
217.198203233199,10000000,1542,2694.0,1542.0,0.0,0.0
217.198203233199,10000000,1543,2694.0,1543.0,0.0,0.0
217.198203233199,10000000,1543,2694.0,1543.0,0.0,0.0
217.198203233199,10000000,1549,2699.0,1549.0,0.0,0.0
217.198203233199,10000000,1549,2699.0,1549.0,0.0,0.0
217.198203233199,10000000,1549,2700.0,1549.0,0.0,0.0
217.198203233199,10000000,1548,2700.0,1548.0,0.0,0.0
217.198203233199,10000000,1549,2700.0,1549.0,0.0,0.0
217.198203233199,10000000,1548,2700.0,1548.0,0.0,0.0
217.198203233199,10000000,1549,2700.0,1549.0,0.0,0.0
217.198203233199,10000000,1551,2702.0,1551.0,0.0,0.0
217.198203233199,10000000,1552,2703.0,1552.0,0.0,0.0
217.198203233199,10000000,1550,2703.0,1550.0,0.0,0.0
217.198203233199,10000000,1556,2706.0,1556.0,0.0,0.0
217.198203233199,10000000,1557,2706.0,1557.0,0.0,0.0
217.198203233199,10000000,1553,2706.0,1553.0,0.0,0.0
217.198203233199,10000000,1556,2707.0,1556.0,0.0,0.0
217.198203233199,10000000,1562,2709.0,1562.0,0.0,0.0
217.198203233199,10000000,1560,2709.0,1560.0,0.0,0.0
217.198203233199,10000000,1561,2710.0,1561.0,0.0,0.0
217.198203233199,10000000,1561,2710.0,1561.0,0.0,0.0
217.198203233199,10000000,1561,2710.0,1561.0,0.0,0.0
217.198203233199,10000000,1561,2710.0,1561.0,0.0,0.0
217.198203233199,10000000,1561,2711.0,1561.0,0.0,0.0
217.198203233199,10000000,1561,2711.0,1561.0,0.0,0.0
217.198203233199,10000000,1559,2711.0,1559.0,0.0,0.0
217.198203233199,10000000,1560,2711.0,1560.0,0.0,0.0
217.198203233199,10000000,1561,2713.0,1561.0,0.0,0.0
217.198203233199,10000000,1565,2714.0,1565.0,0.0,0.0
217.198203233199,10000000,1564,2714.0,1564.0,0.0,0.0
217.198203233199,10000000,1564,2715.0,1564.0,0.0,0.0
217.198203233199,10000000,1566,2717.0,1566.0,0.0,0.0
217.198203233199,10000000,1566,2717.0,1566.0,0.0,0.0
217.198203233199,10000000,1565,2717.0,1565.0,0.0,0.0
217.198203233199,10000000,1569,2719.0,1569.0,0.0,0.0
217.198203233199,10000000,1568,2719.0,1568.0,0.0,0.0
217.198203233199,10000000,1570,2720.0,1570.0,0.0,0.0
217.198203233199,10000000,1571,2722.0,1571.0,0.0,0.0
217.198203233199,10000000,1572,2722.0,1572.0,0.0,0.0
217.198203233199,10000000,1570,2722.0,1570.0,0.0,0.0
217.198203233199,10000000,1572,2724.0,1572.0,0.0,0.0
217.198203233199,10000000,1575,2726.0,1575.0,0.0,0.0
217.198203233199,10000000,1579,2727.0,1579.0,0.0,0.0
217.198203233199,10000000,1577,2728.0,1577.0,0.0,0.0
217.198203233199,10000000,1578,2728.0,1578.0,0.0,0.0
217.198203233199,10000000,1579,2729.0,1579.0,0.0,0.0
277.8107725515124,10000000,1501,2652.0,1501.0,0.0,0.0
277.8107725515124,10000000,1547,2700.0,1547.0,0.0,0.0
277.8107725515124,10000000,1559,2710.0,1559.0,0.0,0.0
277.8107725515124,10000000,1566,2716.0,1566.0,0.0,0.0
