A, iteration number, da_distance, objective_energy, objective_energy_unperturbed, column_constraint_energy, row_constraint_energy
110.55968932140598,10000000,415,1290.0,415.0,0.0,0.0
110.55968932140598,10000000,420,1295.0,420.0,0.0,0.0
110.55968932140598,10000000,422,1298.0,422.0,0.0,0.0
110.55968932140598,10000000,424,1299.0,424.0,0.0,0.0
110.55968932140598,10000000,427,1302.0,427.0,0.0,0.0
110.55968932140598,10000000,429,1304.0,429.0,0.0,0.0
110.55968932140598,10000000,429,1304.0,429.0,0.0,0.0
110.55968932140598,10000000,432,1307.0,432.0,0.0,0.0
110.55968932140598,10000000,432,1307.0,432.0,0.0,0.0
110.55968932140598,10000000,432,1307.0,432.0,0.0,0.0
110.55968932140598,10000000,432,1307.0,432.0,0.0,0.0
110.55968932140598,10000000,433,1309.0,433.0,0.0,0.0
110.55968932140598,10000000,436,1311.0,436.0,0.0,0.0
110.55968932140598,10000000,436,1312.0,436.0,0.0,0.0
110.55968932140598,10000000,437,1312.0,437.0,0.0,0.0
110.55968932140598,10000000,437,1312.0,437.0,0.0,0.0
110.55968932140598,10000000,438,1313.0,438.0,0.0,0.0
110.55968932140598,10000000,438,1314.0,438.0,0.0,0.0
110.55968932140598,10000000,440,1315.0,440.0,0.0,0.0
110.55968932140598,10000000,439,1315.0,439.0,0.0,0.0
110.55968932140598,10000000,439,1315.0,439.0,0.0,0.0
110.55968932140598,10000000,443,1316.0,443.0,0.0,0.0
110.55968932140598,10000000,440,1316.0,440.0,0.0,0.0
110.55968932140598,10000000,441,1316.0,441.0,0.0,0.0
110.55968932140598,10000000,441,1317.0,441.0,0.0,0.0
110.55968932140598,10000000,441,1317.0,441.0,0.0,0.0
110.55968932140598,10000000,440,1317.0,440.0,0.0,0.0
110.55968932140598,10000000,442,1318.0,442.0,0.0,0.0
110.55968932140598,10000000,444,1318.0,444.0,0.0,0.0
110.55968932140598,10000000,442,1318.0,442.0,0.0,0.0
110.55968932140598,10000000,444,1319.0,444.0,0.0,0.0
110.55968932140598,10000000,444,1319.0,444.0,0.0,0.0
110.55968932140598,10000000,444,1319.0,444.0,0.0,0.0
110.55968932140598,10000000,445,1320.0,445.0,0.0,0.0
110.55968932140598,10000000,444,1320.0,444.0,0.0,0.0
110.55968932140598,10000000,443,1320.0,443.0,0.0,0.0
110.55968932140598,10000000,445,1320.0,445.0,0.0,0.0
110.55968932140598,10000000,445,1321.0,445.0,0.0,0.0
110.55968932140598,10000000,446,1321.0,446.0,0.0,0.0
110.55968932140598,10000000,446,1321.0,446.0,0.0,0.0
110.55968932140598,10000000,448,1322.0,448.0,0.0,0.0
110.55968932140598,10000000,446,1322.0,446.0,0.0,0.0
110.55968932140598,10000000,448,1322.0,448.0,0.0,0.0
110.55968932140598,10000000,446,1322.0,446.0,0.0,0.0
110.55968932140598,10000000,447,1322.0,447.0,0.0,0.0
110.55968932140598,10000000,446,1322.0,446.0,0.0,0.0
110.55968932140598,10000000,446,1322.0,446.0,0.0,0.0
110.55968932140598,10000000,445,1322.0,445.0,0.0,0.0
110.55968932140598,10000000,448,1323.0,448.0,0.0,0.0
110.55968932140598,10000000,447,1323.0,447.0,0.0,0.0
110.55968932140598,10000000,447,1323.0,447.0,0.0,0.0
110.55968932140598,10000000,447,1323.0,447.0,0.0,0.0
110.55968932140598,10000000,450,1323.0,450.0,0.0,0.0
110.55968932140598,10000000,451,1324.0,451.0,0.0,0.0
110.55968932140598,10000000,449,1324.0,449.0,0.0,0.0
110.55968932140598,10000000,450,1324.0,450.0,0.0,0.0
110.55968932140598,10000000,449,1324.0,449.0,0.0,0.0
110.55968932140598,10000000,448,1324.0,448.0,0.0,0.0
110.55968932140598,10000000,448,1324.0,448.0,0.0,0.0
110.55968932140598,10000000,452,1325.0,452.0,0.0,0.0
110.55968932140598,10000000,450,1325.0,450.0,0.0,0.0
110.55968932140598,10000000,450,1325.0,450.0,0.0,0.0
110.55968932140598,10000000,449,1325.0,449.0,0.0,0.0
110.55968932140598,10000000,451,1326.0,451.0,0.0,0.0
110.55968932140598,10000000,451,1326.0,451.0,0.0,0.0
110.55968932140598,10000000,450,1326.0,450.0,0.0,0.0
110.55968932140598,10000000,452,1326.0,452.0,0.0,0.0
110.55968932140598,10000000,450,1326.0,450.0,0.0,0.0
110.55968932140598,10000000,452,1327.0,452.0,0.0,0.0
110.55968932140598,10000000,452,1327.0,452.0,0.0,0.0
110.55968932140598,10000000,452,1328.0,452.0,0.0,0.0
110.55968932140598,10000000,453,1328.0,453.0,0.0,0.0
110.55968932140598,10000000,452,1328.0,452.0,0.0,0.0
110.55968932140598,10000000,451,1328.0,451.0,0.0,0.0
110.55968932140598,10000000,452,1328.0,452.0,0.0,0.0
110.55968932140598,10000000,453,1328.0,453.0,0.0,0.0
110.55968932140598,10000000,454,1329.0,454.0,0.0,0.0
110.55968932140598,10000000,454,1329.0,454.0,0.0,0.0
110.55968932140598,10000000,454,1329.0,454.0,0.0,0.0
110.55968932140598,10000000,454,1329.0,454.0,0.0,0.0
110.55968932140598,10000000,453,1329.0,453.0,0.0,0.0
110.55968932140598,10000000,454,1329.0,454.0,0.0,0.0
110.55968932140598,10000000,454,1329.0,454.0,0.0,0.0
110.55968932140598,10000000,454,1329.0,454.0,0.0,0.0
110.55968932140598,10000000,456,1330.0,456.0,0.0,0.0
110.55968932140598,10000000,453,1330.0,453.0,0.0,0.0
110.55968932140598,10000000,454,1330.0,454.0,0.0,0.0
110.55968932140598,10000000,458,1331.0,458.0,0.0,0.0
110.55968932140598,10000000,456,1331.0,456.0,0.0,0.0
110.55968932140598,10000000,457,1332.0,457.0,0.0,0.0
110.55968932140598,10000000,456,1332.0,456.0,0.0,0.0
110.55968932140598,10000000,457,1332.0,457.0,0.0,0.0
110.55968932140598,10000000,456,1332.0,456.0,0.0,0.0
110.55968932140598,10000000,456,1332.0,456.0,0.0,0.0
110.55968932140598,10000000,456,1332.0,456.0,0.0,0.0
110.55968932140598,10000000,456,1332.0,456.0,0.0,0.0
110.55968932140598,10000000,457,1332.0,457.0,0.0,0.0
110.55968932140598,10000000,457,1333.0,457.0,0.0,0.0
110.55968932140598,10000000,457,1333.0,457.0,0.0,0.0
110.55968932140598,10000000,457,1333.0,457.0,0.0,0.0
110.55968932140598,10000000,462,1334.0,462.0,0.0,0.0
110.55968932140598,10000000,458,1334.0,458.0,0.0,0.0
110.55968932140598,10000000,458,1334.0,458.0,0.0,0.0
110.55968932140598,10000000,458,1334.0,458.0,0.0,0.0
110.55968932140598,10000000,460,1334.0,460.0,0.0,0.0
110.55968932140598,10000000,461,1336.0,461.0,0.0,0.0
110.55968932140598,10000000,460,1336.0,460.0,0.0,0.0
110.55968932140598,10000000,461,1337.0,461.0,0.0,0.0
110.55968932140598,10000000,461,1337.0,461.0,0.0,0.0
110.55968932140598,10000000,461,1337.0,461.0,0.0,0.0
110.55968932140598,10000000,463,1338.0,463.0,0.0,0.0
110.55968932140598,10000000,463,1338.0,463.0,0.0,0.0
110.55968932140598,10000000,465,1339.0,465.0,0.0,0.0
110.55968932140598,10000000,464,1339.0,464.0,0.0,0.0
110.55968932140598,10000000,465,1340.0,465.0,0.0,0.0
110.55968932140598,10000000,465,1340.0,465.0,0.0,0.0
110.55968932140598,10000000,465,1341.0,465.0,0.0,0.0
110.55968932140598,10000000,466,1342.0,466.0,0.0,0.0
110.55968932140598,10000000,469,1343.0,469.0,0.0,0.0
110.55968932140598,10000000,469,1343.0,469.0,0.0,0.0
110.55968932140598,10000000,469,1343.0,469.0,0.0,0.0
110.55968932140598,10000000,465,1343.0,465.0,0.0,0.0
110.55968932140598,10000000,469,1343.0,469.0,0.0,0.0
110.55968932140598,10000000,472,1347.0,472.0,0.0,0.0
110.55968932140598,10000000,472,1348.0,472.0,0.0,0.0
110.55968932140598,10000000,478,1352.0,478.0,0.0,0.0
110.55968932140598,10000000,478,1354.0,478.0,0.0,0.0
110.55968932140598,10000000,483,1356.0,483.0,0.0,0.0
157.94922502246428,10000000,452,1327.0,452.0,0.0,0.0
157.94922502246428,10000000,459,1336.0,459.0,0.0,0.0
157.94922502246428,10000000,464,1340.0,464.0,0.0,0.0
