A, iteration number, da_distance, objective_energy, objective_energy_unperturbed, column_constraint_energy, row_constraint_energy
109.8366821479357,10000000,-1,1299.0,398.0,3.0,3.0
109.8366821479357,10000000,-1,1299.0,371.0,3.0,3.0
109.8366821479357,10000000,-1,1303.0,414.0,3.0,3.0
109.8366821479357,10000000,-1,1084.0,302.0,5.0,3.0
109.8366821479357,10000000,-1,1305.0,401.0,3.0,3.0
109.8366821479357,10000000,-1,1306.0,410.0,3.0,3.0
109.8366821479357,10000000,-1,1307.0,412.0,3.0,3.0
109.8366821479357,10000000,-1,1310.0,370.0,3.0,3.0
109.8366821479357,10000000,-1,1312.0,358.0,3.0,3.0
109.8366821479357,10000000,-1,1533.0,448.0,2.0,2.0
109.8366821479357,10000000,-1,1315.0,395.0,3.0,3.0
109.8366821479357,10000000,-1,1096.0,356.0,5.0,3.0
109.8366821479357,10000000,-1,1096.0,320.0,4.0,4.0
109.8366821479357,10000000,-1,1097.0,327.0,4.0,4.0
109.8366821479357,10000000,-1,1317.0,388.0,3.0,3.0
109.8366821479357,10000000,-1,1098.0,309.0,4.0,4.0
109.8366821479357,10000000,-1,1099.0,364.0,4.0,4.0
109.8366821479357,10000000,-1,1319.0,415.0,3.0,3.0
109.8366821479357,10000000,-1,1320.0,401.0,3.0,3.0
109.8366821479357,10000000,-1,1320.0,380.0,3.0,3.0
109.8366821479357,10000000,-1,1101.0,331.0,5.0,3.0
109.8366821479357,10000000,-1,1101.0,367.0,5.0,3.0
109.8366821479357,10000000,-1,1102.0,348.0,5.0,3.0
109.8366821479357,10000000,-1,1322.0,409.0,3.0,3.0
109.8366821479357,10000000,-1,1104.0,350.0,4.0,4.0
109.8366821479357,10000000,-1,1324.0,393.0,3.0,3.0
109.8366821479357,10000000,-1,1544.0,464.0,2.0,2.0
109.8366821479357,10000000,-1,1325.0,423.0,4.0,2.0
109.8366821479357,10000000,-1,1326.0,405.0,3.0,3.0
109.8366821479357,10000000,-1,1326.0,360.0,3.0,3.0
109.8366821479357,10000000,-1,1107.0,370.0,5.0,3.0
