A,iterationnumber,da_distance,objective_energy,objective_energy_unperturbed,column_constraint_energy,row_constraint_energy
40.0,100000000.0,349.06075397256006,349.0607539725601,175.21909264312404,0.0,0.0
40.0,100000000.0,356.39195362950693,356.3919536295069,182.55029230007077,0.0,0.0
40.0,100000000.0,358.62663848030445,358.6266384803045,184.78497715086843,0.0,0.0
40.0,100000000.0,360.25582594331604,360.2558259433159,186.41416461387982,0.0,0.0
40.0,100000000.0,361.0652964213081,361.06529642130806,187.22363509187213,0.0,0.0
40.0,100000000.0,361.6115352589977,361.6115352589976,187.76987392956153,0.0,0.0
40.0,100000000.0,361.61590059011485,361.61590059011496,187.77423926067877,0.0,0.0
40.0,100000000.0,361.9803906931274,361.98039069312733,188.1387293636913,0.0,0.0
40.0,100000000.0,362.48695325571657,362.48695325571657,188.6452919262805,0.0,0.0
40.0,100000000.0,363.41062422751213,363.41062422751213,189.568962898076,0.0,0.0
40.0,100000000.0,363.55355909311703,363.5535590931171,189.7118977636811,0.0,0.0
40.0,100000000.0,364.69011269346015,364.69011269346004,190.84845136402407,0.0,0.0
40.0,100000000.0,365.83725264495354,365.83725264495354,191.99559131551754,0.0,0.0
40.0,100000000.0,366.2248789089856,366.22487890898543,192.38321757954952,0.0,0.0
40.0,100000000.0,368.07260258893115,368.0726025889312,194.23094125949518,0.0,0.0
40.0,100000000.0,368.4727761165152,368.47277611651515,194.63111478707913,0.0,0.0
40.0,100000000.0,368.6706353400664,368.6706353400663,194.82897401063036,0.0,0.0
40.0,100000000.0,368.959218479853,368.95921847985306,195.11755715041699,0.0,0.0
40.0,100000000.0,369.66041079147203,369.660410791472,195.8187494620359,0.0,0.0
40.0,100000000.0,369.7032346393228,369.7032346393227,195.86157330988672,0.0,0.0
40.0,100000000.0,369.81223605845975,369.81223605845963,195.9705747290235,0.0,0.0
40.0,100000000.0,370.2328030210134,370.2328030210134,196.39114169157727,0.0,0.0
40.0,100000000.0,370.26374265226457,370.26374265226445,196.4220813228285,0.0,0.0
40.0,100000000.0,370.75955586509247,370.7595558650925,196.91789453565633,0.0,0.0
40.0,100000000.0,370.7614918894309,370.761491889431,196.91983055999492,0.0,0.0
40.0,100000000.0,370.783638876817,370.783638876817,196.94197754738093,0.0,0.0
40.0,100000000.0,371.20703395158046,371.20703395158034,197.36537262214443,0.0,0.0
40.0,100000000.0,371.38353909549767,371.3835390954977,197.54187776606167,0.0,0.0
40.0,100000000.0,372.44277276064986,372.44277276064986,198.60111143121378,0.0,0.0
40.0,100000000.0,372.5169812354239,372.5169812354239,198.67531990598792,0.0,0.0
40.0,100000000.0,372.5558030314112,372.5558030314111,198.7141417019751,0.0,0.0
40.0,100000000.0,373.02787880749867,373.0278788074986,199.1862174780626,0.0,0.0
40.0,100000000.0,373.2517096883463,373.2517096883463,199.41004835891022,0.0,0.0
40.0,100000000.0,373.29289659765664,373.29289659765664,199.4512352682206,0.0,0.0
40.0,100000000.0,373.4426790584318,373.44267905843174,199.6010177289956,0.0,0.0
40.0,100000000.0,373.5218157435877,373.52181574358775,199.68015441415173,0.0,0.0
40.0,100000000.0,373.7228951378578,373.7228951378578,199.88123380842177,0.0,0.0
40.0,100000000.0,373.91813666929056,373.91813666929056,200.07647533985443,0.0,0.0
40.0,100000000.0,374.05939076478927,374.0593907647892,200.2177294353533,0.0,0.0
40.0,100000000.0,374.08290190418,374.08290190417995,200.241240574744,0.0,0.0
40.0,100000000.0,374.1118629845827,374.1118629845827,200.27020165514665,0.0,0.0
40.0,100000000.0,374.1466457663344,374.1466457663344,200.30498443689825,0.0,0.0
40.0,100000000.0,374.43446210893535,374.4344621089354,200.59280077949947,0.0,0.0
40.0,100000000.0,374.5606358316072,374.56063583160727,200.7189745021711,0.0,0.0
40.0,100000000.0,374.7942406576061,374.79424065760605,200.9525793281701,0.0,0.0
40.0,100000000.0,375.0404015106791,375.04040151067915,201.19874018124304,0.0,0.0
40.0,100000000.0,375.6982430447853,375.69824304478533,201.85658171534925,0.0,0.0
40.0,100000000.0,375.74391796050884,375.74391796050867,201.90225663107265,0.0,0.0
