A,iterationnumber,da_distance,objective_energy,objective_energy_unperturbed,column_constraint_energy,row_constraint_energy
45.0,100000000.0,186.00756891252442,186.00756891252442,171.259343773895,0.0,0.0
45.0,100000000.0,187.17680812984676,187.17680812984676,172.42858299121735,0.0,0.0
45.0,100000000.0,187.46149529779734,187.46149529779734,172.71327015916796,0.0,0.0
45.0,100000000.0,188.1529294222111,188.15292942221112,173.40470428358165,0.0,0.0
45.0,100000000.0,188.77045194862507,188.77045194862507,174.02222680999563,0.0,0.0
45.0,100000000.0,188.77045194862507,188.77045194862507,174.02222680999563,0.0,0.0
45.0,100000000.0,189.5237209827462,189.5237209827462,174.7754958441168,0.0,0.0
45.0,100000000.0,189.9578701315901,189.9578701315901,175.20964499296068,0.0,0.0
45.0,100000000.0,189.98704029515577,189.98704029515577,175.23881515652636,0.0,0.0
45.0,100000000.0,189.99019558460174,189.99019558460174,175.24197044597233,0.0,0.0
45.0,100000000.0,190.0388806394524,190.0388806394524,175.290655500823,0.0,0.0
45.0,100000000.0,190.1179550163056,190.11795501630561,175.36972987767612,0.0,0.0
45.0,100000000.0,190.45518295896056,190.4551829589606,175.7069578203311,0.0,0.0
45.0,100000000.0,190.79214967357353,190.79214967357353,176.04392453494415,0.0,0.0
45.0,100000000.0,190.89038565439682,190.89038565439682,176.14216051576744,0.0,0.0
45.0,100000000.0,191.1937406423996,191.1937406423996,176.44551550377014,0.0,0.0
45.0,100000000.0,191.3380395634005,191.3380395634005,176.58981442477102,0.0,0.0
45.0,100000000.0,191.3798627504191,191.3798627504191,176.6316376117897,0.0,0.0
45.0,100000000.0,191.46933962706075,191.46933962706078,176.72111448843137,0.0,0.0
45.0,100000000.0,191.47364542075525,191.47364542075525,176.7254202821258,0.0,0.0
45.0,100000000.0,191.57529882209676,191.57529882209676,176.82707368346738,0.0,0.0
45.0,100000000.0,191.57529882209676,191.57529882209676,176.82707368346738,0.0,0.0
45.0,100000000.0,191.57529882209676,191.57529882209676,176.82707368346738,0.0,0.0
45.0,100000000.0,191.58318068606496,191.58318068606496,176.83495554743547,0.0,0.0
45.0,100000000.0,191.59199649823032,191.59199649823032,176.8437713596009,0.0,0.0
45.0,100000000.0,191.79577228727405,191.79577228727402,177.04754714864458,0.0,0.0
45.0,100000000.0,191.82534533261924,191.82534533261924,177.07712019398983,0.0,0.0
45.0,100000000.0,191.84892057523257,191.84892057523257,177.10069543660322,0.0,0.0
