A,iterationnumber,da_distance,objective_energy,objective_energy_unperturbed,column_constraint_energy,row_constraint_energy
53.0,100000000.0,258.3390694723162,258.33906947231617,194.29075031790293,0.0,0.0
53.0,100000000.0,258.74841007534377,258.7484100753437,194.7000909209305,0.0,0.0
53.0,100000000.0,259.3693033200559,259.3693033200559,195.32098416564273,0.0,0.0
53.0,100000000.0,259.89897178737465,259.89897178737465,195.85065263296136,0.0,0.0
53.0,100000000.0,261.1170118782296,261.11701187822956,197.06869272381635,0.0,0.0
53.0,100000000.0,264.78425287021173,264.78425287021173,200.73593371579844,0.0,0.0
53.0,100000000.0,265.4856903382631,265.4856903382631,201.43737118384985,0.0,0.0
53.0,100000000.0,265.82085304853615,265.82085304853615,201.77253389412286,0.0,0.0
53.0,100000000.0,265.88734837958,265.88734837958003,201.8390292251667,0.0,0.0
53.0,100000000.0,266.0694160108494,266.0694160108494,202.0210968564362,0.0,0.0
53.0,100000000.0,267.6390650353226,267.63906503532263,203.5907458809093,0.0,0.0
53.0,100000000.0,268.649688868911,268.6496888689109,204.6013697144977,0.0,0.0
53.0,100000000.0,269.6282538637487,269.6282538637487,205.57993470933542,0.0,0.0
53.0,100000000.0,269.78136278053023,269.7813627805302,205.73304362611694,0.0,0.0
53.0,100000000.0,269.9090571589096,269.90905715890966,205.86073800449637,0.0,0.0
53.0,100000000.0,270.0757688808651,270.07576888086516,206.02744972645186,0.0,0.0
53.0,100000000.0,270.09422753570493,270.09422753570493,206.04590838129164,0.0,0.0
53.0,100000000.0,270.1519399047895,270.1519399047895,206.1036207503763,0.0,0.0
53.0,100000000.0,270.80488088352246,270.8048808835224,206.75656172910917,0.0,0.0
53.0,100000000.0,270.86674830234205,270.86674830234205,206.8184291479288,0.0,0.0
53.0,100000000.0,270.97395694412796,270.9739569441279,206.92563778971467,0.0,0.0
53.0,100000000.0,271.41608356264896,271.41608356264896,207.36776440823562,0.0,0.0
53.0,100000000.0,273.2736985906493,273.27369859064936,209.22537943623604,0.0,0.0
53.0,100000000.0,273.2841141169972,273.2841141169972,209.23579496258395,0.0,0.0
53.0,100000000.0,273.31920728718643,273.3192072871864,209.27088813277305,0.0,0.0
53.0,100000000.0,273.7365329649958,273.7365329649957,209.68821381058243,0.0,0.0
53.0,100000000.0,273.9200780416638,273.9200780416638,209.8717588872506,0.0,0.0
53.0,100000000.0,274.03065219690995,274.03065219690984,209.9823330424966,0.0,0.0
53.0,100000000.0,274.5295308157275,274.52953081572747,210.48121166131423,0.0,0.0
53.0,100000000.0,274.6763871888668,274.6763871888668,210.62806803445352,0.0,0.0
53.0,100000000.0,274.745249567698,274.7452495676981,210.6969304132848,0.0,0.0
53.0,100000000.0,275.1866424862336,275.1866424862336,211.1383233318203,0.0,0.0
53.0,100000000.0,275.1895836411542,275.1895836411542,211.14126448674088,0.0,0.0
53.0,100000000.0,275.19792367196095,275.197923671961,211.1496045175477,0.0,0.0
53.0,100000000.0,275.25562346656443,275.25562346656443,211.2073043121511,0.0,0.0
53.0,100000000.0,275.592918705247,275.59291870524703,211.54459955083377,0.0,0.0
53.0,100000000.0,275.96151102391923,275.9615110239193,211.913191869506,0.0,0.0
53.0,100000000.0,276.3196241648944,276.3196241648943,212.27130501048111,0.0,0.0
53.0,100000000.0,277.0190930336727,277.0190930336727,212.9707738792594,0.0,0.0
53.0,100000000.0,277.20939769460864,277.2093976946086,213.16107854019535,0.0,0.0
53.0,100000000.0,277.2276253473373,277.2276253473374,213.179306192924,0.0,0.0
53.0,100000000.0,277.4302955400887,277.4302955400887,213.38197638567547,0.0,0.0
53.0,100000000.0,278.077179297484,278.07717929748407,214.02886014307072,0.0,0.0
53.0,100000000.0,278.1656627574986,278.1656627574987,214.11734360308537,0.0,0.0
53.0,100000000.0,278.78594573999305,278.78594573999317,214.73762658557976,0.0,0.0
53.0,100000000.0,278.84284211123645,278.84284211123645,214.79452295682322,0.0,0.0
53.0,100000000.0,279.36275005463864,279.36275005463864,215.31443090022535,0.0,0.0
53.0,100000000.0,279.43678418495205,279.4367841849521,215.3884650305388,0.0,0.0
53.0,100000000.0,279.5503507307534,279.55035073075345,215.5020315763401,0.0,0.0
53.0,100000000.0,279.6963521633792,279.6963521633792,215.6480330089659,0.0,0.0
53.0,100000000.0,279.70243889445993,279.70243889445993,215.65411974004672,0.0,0.0
53.0,100000000.0,279.7721514211952,279.7721514211953,215.7238322667819,0.0,0.0
53.0,100000000.0,279.83476164027377,279.8347616402738,215.78644248586056,0.0,0.0
53.0,100000000.0,279.84904477955024,279.84904477955024,215.80072562513695,0.0,0.0
53.0,100000000.0,279.9019965653225,279.90199656532246,215.8536774109092,0.0,0.0
53.0,100000000.0,280.1007669719195,280.10076697191937,216.0524478175062,0.0,0.0
53.0,100000000.0,280.17290852374,280.17290852374,216.12458936932669,0.0,0.0
53.0,100000000.0,280.40459757632743,280.40459757632743,216.35627842191423,0.0,0.0
53.0,100000000.0,280.5749132936346,280.57491329363467,216.52659413922143,0.0,0.0
53.0,100000000.0,280.6095416082413,280.60954160824133,216.5612224538281,0.0,0.0
53.0,100000000.0,280.6440579850772,280.64405798507715,216.5957388306639,0.0,0.0
53.0,100000000.0,280.6711717560976,280.6711717560976,216.6228526016843,0.0,0.0
53.0,100000000.0,280.82074100782995,280.82074100782995,216.7724218534167,0.0,0.0
53.0,100000000.0,280.8481588209153,280.8481588209153,216.79983966650198,0.0,0.0
53.0,100000000.0,280.92853900168564,280.92853900168564,216.88021984727234,0.0,0.0
53.0,100000000.0,281.02152537466065,281.02152537466065,216.97320622024742,0.0,0.0
53.0,100000000.0,281.16685142363036,281.1668514236303,217.11853226921716,0.0,0.0
53.0,100000000.0,281.40929908941337,281.40929908941337,217.36097993500005,0.0,0.0
53.0,100000000.0,281.419699685841,281.419699685841,217.37138053142786,0.0,0.0
53.0,100000000.0,281.7447795763262,281.7447795763262,217.69646042191292,0.0,0.0
53.0,100000000.0,281.8866223041302,281.8866223041301,217.8383031497169,0.0,0.0
53.0,100000000.0,281.9518700291784,281.9518700291784,217.9035508747651,0.0,0.0
53.0,100000000.0,281.97894274584974,281.9789427458498,217.93062359143647,0.0,0.0
53.0,100000000.0,282.2962646161941,282.296264616194,218.24794546178072,0.0,0.0
53.0,100000000.0,282.4338673956727,282.4338673956727,218.38554824125947,0.0,0.0
53.0,100000000.0,282.71177478791265,282.71177478791253,218.6634556334993,0.0,0.0
53.0,100000000.0,282.9281621910069,282.9281621910068,218.87984303659354,0.0,0.0
53.0,100000000.0,282.9630609685098,282.9630609685099,218.91474181409666,0.0,0.0
53.0,100000000.0,283.01424415518613,283.01424415518613,218.9659250007728,0.0,0.0
53.0,100000000.0,283.06411152520764,283.06411152520764,219.01579237079432,0.0,0.0
53.0,100000000.0,283.06858712818917,283.06858712818917,219.02026797377587,0.0,0.0
53.0,100000000.0,283.2563784312621,283.25637843126214,219.20805927684884,0.0,0.0
53.0,100000000.0,283.3492047140687,283.3492047140687,219.3008855596555,0.0,0.0
53.0,100000000.0,283.3987794537007,283.3987794537006,219.3504602992874,0.0,0.0
53.0,100000000.0,283.62444800635876,283.62444800635876,219.5761288519455,0.0,0.0
53.0,100000000.0,283.6578299299367,283.6578299299367,219.60951077552346,0.0,0.0
53.0,100000000.0,284.2815460868087,284.2815460868087,220.2332269323954,0.0,0.0
53.0,100000000.0,284.3644641759438,284.36446417594374,220.31614502153047,0.0,0.0
53.0,100000000.0,284.55518911616906,284.5551891161691,220.5068699617558,0.0,0.0
53.0,100000000.0,284.6673408606347,284.66734086063474,220.6190217062215,0.0,0.0
53.0,100000000.0,284.9319276589283,284.9319276589284,220.88360850451508,0.0,0.0
53.0,100000000.0,285.1439016920052,285.1439016920053,221.095582537592,0.0,0.0
53.0,100000000.0,285.45237340553626,285.45237340553626,221.40405425112297,0.0,0.0
53.0,100000000.0,285.56066087946385,285.56066087946385,221.51234172505062,0.0,0.0
53.0,100000000.0,285.8898008779458,285.88980087794585,221.84148172353255,0.0,0.0
53.0,100000000.0,286.21493364256605,286.21493364256605,222.16661448815293,0.0,0.0
53.0,100000000.0,286.28838974554617,286.28838974554606,222.24007059113282,0.0,0.0
53.0,100000000.0,286.62732005409345,286.62732005409356,222.57900089968018,0.0,0.0
53.0,100000000.0,286.8907307807152,286.8907307807151,222.8424116263018,0.0,0.0
53.0,100000000.0,286.930689749888,286.93068974988796,222.8823705954747,0.0,0.0
53.0,100000000.0,286.9471093322638,286.94710933226384,222.8987901778505,0.0,0.0
53.0,100000000.0,287.15439806633736,287.15439806633736,223.1060789119242,0.0,0.0
53.0,100000000.0,287.32503571068,287.32503571068,223.27671655626682,0.0,0.0
53.0,100000000.0,287.7869484415244,287.78694844152443,223.73862928711105,0.0,0.0
53.0,100000000.0,287.9143716256658,287.9143716256659,223.86605247125257,0.0,0.0
53.0,100000000.0,287.92962204572234,287.92962204572234,223.88130289130905,0.0,0.0
53.0,100000000.0,288.22299382201373,288.2229938220137,224.1746746676004,0.0,0.0
