A,iterationnumber,da_distance,objective_energy,objective_energy_unperturbed,column_constraint_energy,row_constraint_energy
50.0,100000000.0,645.4831411170795,645.4831411170795,220.18909345352031,0.0,0.0
50.0,100000000.0,653.9461741063908,653.9461741063908,228.65212644283136,0.0,0.0
50.0,100000000.0,659.1451651611322,659.1451651611322,233.85111749757283,0.0,0.0
50.0,100000000.0,662.6712195607047,662.6712195607045,237.37717189714533,0.0,0.0
50.0,100000000.0,663.0774736448412,663.0774736448411,237.78342598128197,0.0,0.0
50.0,100000000.0,663.8141041315274,663.8141041315273,238.52005646796812,0.0,0.0
50.0,100000000.0,664.1873406772015,664.1873406772014,238.89329301364222,0.0,0.0
50.0,100000000.0,664.6942251953064,664.6942251953063,239.40017753174703,0.0,0.0
50.0,100000000.0,666.249311985404,666.2493119854039,240.95526432184457,0.0,0.0
50.0,100000000.0,667.535976529886,667.5359765298858,242.2419288663267,0.0,0.0
50.0,100000000.0,669.2804176279917,669.2804176279916,243.98636996443238,0.0,0.0
50.0,100000000.0,669.8583107551722,669.8583107551719,244.56426309161273,0.0,0.0
50.0,100000000.0,669.9815969512193,669.9815969512191,244.68754928766,0.0,0.0
50.0,100000000.0,670.248937015575,670.2489370155748,244.95488935201567,0.0,0.0
50.0,100000000.0,671.667540970055,671.6675409700551,246.37349330649582,0.0,0.0
50.0,100000000.0,671.7432179844022,671.743217984402,246.44917032084274,0.0,0.0
50.0,100000000.0,671.984610821671,671.9846108216711,246.69056315811176,0.0,0.0
50.0,100000000.0,671.9957129991549,671.9957129991548,246.70166533559546,0.0,0.0
50.0,100000000.0,672.0800564403229,672.080056440323,246.78600877676365,0.0,0.0
50.0,100000000.0,672.9774300580602,672.9774300580601,247.6833823945008,0.0,0.0
50.0,100000000.0,673.1232361298297,673.1232361298296,247.82918846627035,0.0,0.0
50.0,100000000.0,673.1707028486558,673.1707028486555,247.8766551850964,0.0,0.0
