A,iterationnumber,da_distance,objective_energy,objective_energy_unperturbed,column_constraint_energy,row_constraint_energy
45.0,100000000.0,447.39272261219713,447.39272261219713,175.24519545180135,0.0,0.0
45.0,100000000.0,449.87222332251605,449.87222332251594,177.72469616212024,0.0,0.0
45.0,100000000.0,450.00447791349063,450.0044779134907,177.85695075309485,0.0,0.0
45.0,100000000.0,450.1022120292126,450.10221202921264,177.95468486881683,0.0,0.0
45.0,100000000.0,451.0263899451875,451.02638994518736,178.87886278479166,0.0,0.0
45.0,100000000.0,453.2013080106796,453.20130801067955,181.05378085028383,0.0,0.0
45.0,100000000.0,453.3518250899685,453.35182508996843,181.20429792957273,0.0,0.0
45.0,100000000.0,453.75801179194366,453.7580117919437,181.6104846315479,0.0,0.0
45.0,100000000.0,455.5164250899705,455.51642508997054,183.36889792957484,0.0,0.0
45.0,100000000.0,455.56855071063933,455.56855071063933,183.42102355024366,0.0,0.0
45.0,100000000.0,456.18207376368946,456.18207376368935,184.03454660329365,0.0,0.0
45.0,100000000.0,456.1925441154367,456.1925441154367,184.04501695504098,0.0,0.0
45.0,100000000.0,456.6211748511041,456.621174851104,184.47364769070833,0.0,0.0
45.0,100000000.0,456.92334800182255,456.9233480018225,184.77582084142676,0.0,0.0
45.0,100000000.0,457.3836459279073,457.3836459279074,185.23611876751167,0.0,0.0
45.0,100000000.0,457.707010976849,457.70701097684906,185.55948381645337,0.0,0.0
45.0,100000000.0,458.21970168429505,458.21970168429505,186.07217452389932,0.0,0.0
45.0,100000000.0,458.2741922670981,458.2741922670982,186.12666510670238,0.0,0.0
45.0,100000000.0,458.35738734757456,458.35738734757456,186.20986018717872,0.0,0.0
45.0,100000000.0,458.92765843963537,458.92765843963525,186.78013127923958,0.0,0.0
45.0,100000000.0,459.5358964738059,459.5358964738059,187.38836931341007,0.0,0.0
45.0,100000000.0,459.59219946568254,459.5921994656826,187.44467230528682,0.0,0.0
45.0,100000000.0,459.9226589000473,459.9226589000473,187.7751317396515,0.0,0.0
45.0,100000000.0,459.9877795714579,459.98777957145796,187.84025241106227,0.0,0.0
45.0,100000000.0,460.5688370927852,460.56883709278515,188.4213099323895,0.0,0.0
45.0,100000000.0,460.79409918771483,460.7940991877149,188.64657202731897,0.0,0.0
45.0,100000000.0,461.66916960922435,461.6691696092243,189.5216424488287,0.0,0.0
45.0,100000000.0,461.88038112390717,461.8803811239071,189.7328539635114,0.0,0.0
45.0,100000000.0,462.03477361947023,462.0347736194702,189.88724645907442,0.0,0.0
45.0,100000000.0,462.0646793470939,462.06467934709394,189.91715218669827,0.0,0.0
45.0,100000000.0,462.74235946024226,462.74235946024226,190.59483229984653,0.0,0.0
45.0,100000000.0,462.885264676481,462.885264676481,190.73773751608516,0.0,0.0
45.0,100000000.0,462.9423863996529,462.9423863996528,190.79485923925716,0.0,0.0
45.0,100000000.0,463.0941164731157,463.0941164731157,190.94658931272008,0.0,0.0
45.0,100000000.0,463.18875766452663,463.18875766452663,191.04123050413094,0.0,0.0
45.0,100000000.0,463.24377041879893,463.243770418799,191.0962432584031,0.0,0.0
45.0,100000000.0,463.40918365659905,463.409183656599,191.26165649620327,0.0,0.0
45.0,100000000.0,463.48182749737174,463.48182749737174,191.33430033697596,0.0,0.0
45.0,100000000.0,463.48257176758614,463.4825717675862,191.33504460719053,0.0,0.0
45.0,100000000.0,463.6927878837796,463.6927878837796,191.54526072338388,0.0,0.0
45.0,100000000.0,463.9969646657422,463.99696466574215,191.84943750534643,0.0,0.0
45.0,100000000.0,464.0423148424049,464.04231484240495,191.89478768200922,0.0,0.0
45.0,100000000.0,464.14986972184784,464.14986972184784,192.0023425614521,0.0,0.0
45.0,100000000.0,464.47191407910174,464.4719140791017,192.3243869187059,0.0,0.0
45.0,100000000.0,464.8953479637282,464.8953479637281,192.74782080333242,0.0,0.0
45.0,100000000.0,464.94108217858525,464.94108217858525,192.79355501818947,0.0,0.0
45.0,100000000.0,465.1560613817359,465.1560613817358,193.00853422134014,0.0,0.0
45.0,100000000.0,465.1582088833494,465.1582088833495,193.01068172295368,0.0,0.0
45.0,100000000.0,465.3129664394927,465.31296643949264,193.1654392790968,0.0,0.0
45.0,100000000.0,465.4642924031723,465.4642924031723,193.3167652427766,0.0,0.0
45.0,100000000.0,465.6092971134851,465.6092971134851,193.4617699530894,0.0,0.0
45.0,100000000.0,466.23537722830713,466.2353772283072,194.08785006791138,0.0,0.0
45.0,100000000.0,466.2899385818227,466.28993858182264,194.14241142142689,0.0,0.0
45.0,100000000.0,466.4213495612304,466.4213495612305,194.2738224008347,0.0,0.0
45.0,100000000.0,466.57093953761836,466.57093953761824,194.4234123772224,0.0,0.0
45.0,100000000.0,466.5907174413453,466.5907174413455,194.44319028094958,0.0,0.0
45.0,100000000.0,466.86582026470205,466.86582026470205,194.7182931043063,0.0,0.0
