A,iterationnumber,da_distance,objective_energy,objective_energy_unperturbed,column_constraint_energy,row_constraint_energy
46.0,100000000.0,398.5366827585367,398.5366827585366,214.67297418247912,0.0,0.0
46.0,100000000.0,399.1419299266022,399.1419299266023,215.27822135054473,0.0,0.0
46.0,100000000.0,399.66922347278404,399.6692234727841,215.80551489672652,0.0,0.0
46.0,100000000.0,402.11336597506477,402.11336597506477,218.24965739900728,0.0,0.0
46.0,100000000.0,403.1090968999546,403.1090968999546,219.24538832389706,0.0,0.0
46.0,100000000.0,404.8110674673552,404.81106746735526,220.94735889129768,0.0,0.0
46.0,100000000.0,405.2006250497889,405.200625049789,221.33691647373155,0.0,0.0
46.0,100000000.0,405.99022700312906,405.990227003129,222.12651842707157,0.0,0.0
46.0,100000000.0,406.22480653660995,406.22480653661,222.3610979605525,0.0,0.0
46.0,100000000.0,406.91941874973213,406.91941874973213,223.0557101736746,0.0,0.0
46.0,100000000.0,406.9694966230615,406.9694966230615,223.10578804700395,0.0,0.0
46.0,100000000.0,407.3031283300343,407.30312833003427,223.43941975397684,0.0,0.0
46.0,100000000.0,407.58467863082507,407.5846786308252,223.72097005476766,0.0,0.0
46.0,100000000.0,407.5919554343135,407.5919554343136,223.7282468582561,0.0,0.0
46.0,100000000.0,407.74271920582987,407.74271920582987,223.87901062977232,0.0,0.0
46.0,100000000.0,408.5554962713533,408.5554962713533,224.69178769529583,0.0,0.0
46.0,100000000.0,410.06484937370607,410.06484937370607,226.2011407976485,0.0,0.0
46.0,100000000.0,410.6049813412336,410.6049813412336,226.74127276517603,0.0,0.0
46.0,100000000.0,410.6422562290135,410.64225622901347,226.77854765295595,0.0,0.0
46.0,100000000.0,410.9301993463074,410.9301993463074,227.06649077024986,0.0,0.0
46.0,100000000.0,411.03286613944664,411.03286613944664,227.16915756338912,0.0,0.0
46.0,100000000.0,411.04536478967754,411.0453647896775,227.18165621362004,0.0,0.0
46.0,100000000.0,411.04764468784794,411.047644687848,227.18393611179036,0.0,0.0
46.0,100000000.0,411.7171556926988,411.71715569269884,227.85344711664132,0.0,0.0
46.0,100000000.0,412.08723787825994,412.0872378782599,228.22352930220245,0.0,0.0
46.0,100000000.0,412.3062362796972,412.30623627969715,228.4425277036397,0.0,0.0
46.0,100000000.0,412.37604510964456,412.37604510964456,228.51233653358702,0.0,0.0
46.0,100000000.0,412.42112435400503,412.4211243540051,228.55741577794748,0.0,0.0
46.0,100000000.0,412.5434125169595,412.54341251695945,228.6797039409019,0.0,0.0
46.0,100000000.0,412.60895571567806,412.6089557156781,228.74524713962066,0.0,0.0
46.0,100000000.0,413.0090690380077,413.0090690380077,229.1453604619502,0.0,0.0
46.0,100000000.0,413.43060048827925,413.4306004882792,229.56689191222173,0.0,0.0
46.0,100000000.0,413.44527725448154,413.44527725448154,229.581568678424,0.0,0.0
46.0,100000000.0,413.6859344196079,413.68593441960786,229.82222584355037,0.0,0.0
46.0,100000000.0,414.0929734933417,414.09297349334156,230.2292649172841,0.0,0.0
46.0,100000000.0,414.22135325392856,414.22135325392856,230.35764467787098,0.0,0.0
46.0,100000000.0,414.81284247882763,414.8128424788275,230.94913390277011,0.0,0.0
46.0,100000000.0,414.9030350225153,414.9030350225153,231.03932644645775,0.0,0.0
46.0,100000000.0,415.1158262004331,415.11582620043305,231.2521176243757,0.0,0.0
46.0,100000000.0,415.3113741969977,415.3113741969978,231.44766562094028,0.0,0.0
46.0,100000000.0,415.48092029355763,415.4809202935576,231.61721171750006,0.0,0.0
46.0,100000000.0,415.4951048786687,415.4951048786686,231.63139630261117,0.0,0.0
46.0,100000000.0,415.69703169823435,415.69703169823424,231.83332312217675,0.0,0.0
46.0,100000000.0,416.02703143807963,416.0270314380798,232.16332286202223,0.0,0.0
46.0,100000000.0,416.0811400558486,416.0811400558488,232.21743147979117,0.0,0.0
46.0,100000000.0,416.34862346049385,416.3486234604939,232.48491488443642,0.0,0.0
46.0,100000000.0,416.39710620208973,416.3971062020896,232.53339762603215,0.0,0.0
46.0,100000000.0,416.52996508723214,416.5299650872323,232.66625651117474,0.0,0.0
46.0,100000000.0,416.8191752518084,416.81917525180836,232.955466675751,0.0,0.0
46.0,100000000.0,416.8812687977731,416.88126879777303,233.01756022171557,0.0,0.0
46.0,100000000.0,417.0059508837941,417.005950883794,233.14224230773664,0.0,0.0
46.0,100000000.0,417.06717415907775,417.06717415907775,233.2034655830203,0.0,0.0
46.0,100000000.0,417.3844951035374,417.38449510353746,233.52078652747994,0.0,0.0
46.0,100000000.0,417.6886641163345,417.68866411633434,233.82495554027696,0.0,0.0
46.0,100000000.0,417.7768949399026,417.77689493990266,233.91318636384514,0.0,0.0
46.0,100000000.0,417.8589682175024,417.8589682175025,233.99525964144502,0.0,0.0
46.0,100000000.0,417.9167866039206,417.9167866039206,234.05307802786305,0.0,0.0
46.0,100000000.0,417.97138317644465,417.97138317644453,234.10767460038707,0.0,0.0
46.0,100000000.0,418.09713392068625,418.0971339206862,234.23342534462876,0.0,0.0
46.0,100000000.0,418.21035167681856,418.2103516768186,234.34664310076113,0.0,0.0
46.0,100000000.0,418.34851663989434,418.34851663989434,234.48480806383688,0.0,0.0
46.0,100000000.0,418.3516713198845,418.35167131988436,234.48796274382696,0.0,0.0
46.0,100000000.0,418.73776277239847,418.73776277239847,234.87405419634095,0.0,0.0
46.0,100000000.0,418.82754703013916,418.82754703013927,234.96383845408178,0.0,0.0
46.0,100000000.0,419.0756326407523,419.07563264075236,235.21192406469484,0.0,0.0
46.0,100000000.0,419.2833638819346,419.28336388193463,235.4196553058771,0.0,0.0
46.0,100000000.0,419.5487590401243,419.5487590401244,235.68505046406685,0.0,0.0
46.0,100000000.0,419.56581504611233,419.56581504611233,235.70210647005482,0.0,0.0
46.0,100000000.0,419.78338383881373,419.78338383881373,235.91967526275633,0.0,0.0
46.0,100000000.0,419.9616965328333,419.96169653283334,236.09798795677563,0.0,0.0
46.0,100000000.0,420.33359236529026,420.3335923652903,236.4698837892328,0.0,0.0
46.0,100000000.0,420.4334763901227,420.4334763901227,236.56976781406516,0.0,0.0
46.0,100000000.0,420.44958753415216,420.4495875341521,236.5858789580947,0.0,0.0
46.0,100000000.0,420.64955328056675,420.6495532805669,236.78584470450934,0.0,0.0
46.0,100000000.0,420.9266199657823,420.92661996578227,237.0629113897248,0.0,0.0
46.0,100000000.0,420.96633327227596,420.96633327227596,237.10262469621844,0.0,0.0
46.0,100000000.0,421.0397910845692,421.0397910845692,237.1760825085116,0.0,0.0
46.0,100000000.0,421.1109821175257,421.1109821175256,237.2472735414682,0.0,0.0
46.0,100000000.0,421.2495624396993,421.24956243969916,237.38585386364173,0.0,0.0
46.0,100000000.0,421.3141652154883,421.31416521548823,237.45045663943077,0.0,0.0
46.0,100000000.0,421.49910372066944,421.49910372066944,237.63539514461195,0.0,0.0
46.0,100000000.0,421.57397121116225,421.5739712111623,237.71026263510478,0.0,0.0
46.0,100000000.0,421.60343307709013,421.60343307709013,237.73972450103253,0.0,0.0
46.0,100000000.0,421.60965081315135,421.6096508131513,237.7459422370938,0.0,0.0
46.0,100000000.0,422.10904586993223,422.1090458699323,238.24533729387463,0.0,0.0
46.0,100000000.0,422.11189980009215,422.1118998000922,238.24819122403463,0.0,0.0
46.0,100000000.0,422.26625064420796,422.26625064420796,238.40254206815047,0.0,0.0
46.0,100000000.0,422.3003965594341,422.30039655943415,238.4366879833766,0.0,0.0
46.0,100000000.0,422.4417055397886,422.44170553978864,238.57799696373115,0.0,0.0
46.0,100000000.0,422.5112904707141,422.511290470714,238.6475818946565,0.0,0.0
46.0,100000000.0,422.82034612973086,422.82034612973064,238.95663755367326,0.0,0.0
46.0,100000000.0,423.01899688408315,423.0189968840831,239.1552883080257,0.0,0.0
46.0,100000000.0,423.06802987975294,423.06802987975277,239.20432130369534,0.0,0.0
46.0,100000000.0,423.16247508751314,423.16247508751326,239.29876651145565,0.0,0.0
46.0,100000000.0,423.1815642153626,423.1815642153626,239.31785563930507,0.0,0.0
46.0,100000000.0,423.6338622559553,423.6338622559553,239.77015367989776,0.0,0.0
46.0,100000000.0,423.7220923259822,423.7220923259822,239.85838374992466,0.0,0.0
46.0,100000000.0,423.89373598742117,423.8937359874211,240.03002741136362,0.0,0.0
46.0,100000000.0,423.897233665075,423.89723366507496,240.0335250890176,0.0,0.0
46.0,100000000.0,423.9428606356582,423.94286063565806,240.07915205960057,0.0,0.0
46.0,100000000.0,424.0423426090375,424.0423426090375,240.17863403298,0.0,0.0
46.0,100000000.0,424.06919315855305,424.0691931585531,240.20548458249567,0.0,0.0
46.0,100000000.0,424.1552227060235,424.15522270602344,240.29151412996603,0.0,0.0
46.0,100000000.0,424.2213378013665,424.22133780136653,240.35762922530898,0.0,0.0
46.0,100000000.0,424.7108399880492,424.71083998804914,240.84713141199165,0.0,0.0
46.0,100000000.0,424.71725392976083,424.7172539297608,240.8535453537033,0.0,0.0
46.0,100000000.0,424.8889947732215,424.8889947732215,241.02528619716398,0.0,0.0
46.0,100000000.0,424.9618107574307,424.9618107574307,241.09810218137324,0.0,0.0
46.0,100000000.0,425.03353700169464,425.03353700169464,241.1698284256371,0.0,0.0
46.0,100000000.0,425.072981787418,425.0729817874179,241.20927321136045,0.0,0.0
46.0,100000000.0,425.20089914531246,425.2008991453126,241.33719056925497,0.0,0.0
46.0,100000000.0,425.4821443855124,425.4821443855124,241.6184358094548,0.0,0.0
46.0,100000000.0,425.5115236327671,425.5115236327671,241.6478150567095,0.0,0.0
46.0,100000000.0,425.6200713620469,425.62007136204704,241.75636278598932,0.0,0.0
46.0,100000000.0,425.7236454221335,425.7236454221337,241.85993684607612,0.0,0.0
46.0,100000000.0,425.72825915767055,425.72825915767044,241.86455058161297,0.0,0.0
46.0,100000000.0,425.8480755455724,425.8480755455723,241.98436696951475,0.0,0.0
46.0,100000000.0,425.9977746750915,425.9977746750915,242.134066099034,0.0,0.0
46.0,100000000.0,426.06947536525513,426.06947536525524,242.20576678919753,0.0,0.0
46.0,100000000.0,426.14282264696527,426.1428226469653,242.27911407090775,0.0,0.0
46.0,100000000.0,426.58299078910807,426.58299078910795,242.71928221305046,0.0,0.0
46.0,100000000.0,426.7377370514382,426.7377370514382,242.87402847538064,0.0,0.0
46.0,100000000.0,426.8146133772965,426.8146133772965,242.95090480123906,0.0,0.0
46.0,100000000.0,426.851173410371,426.8511734103711,242.98746483431347,0.0,0.0
46.0,100000000.0,427.1083372929176,427.10833729291767,243.2446287168602,0.0,0.0
46.0,100000000.0,427.1661334112257,427.1661334112258,243.30242483516827,0.0,0.0
46.0,100000000.0,427.34427524713055,427.3442752471305,243.48056667107315,0.0,0.0
46.0,100000000.0,427.39148072742023,427.39148072742034,243.52777215136277,0.0,0.0
23.0,100000000.0,-1.0,315.856277810871,160.403356334292,1.0,1.0
23.0,100000000.0,-1.0,317.28182228823846,166.31388859351088,1.0,1.0
23.0,100000000.0,363.83492611300835,363.83492611300835,179.97121753695086,0.0,0.0
23.0,100000000.0,-1.0,317.974048819284,166.22757804241704,1.0,1.0
23.0,100000000.0,-1.0,318.65103862347735,166.90456784661052,1.0,1.0
23.0,100000000.0,-1.0,272.8127638083701,146.54261873691982,2.0,2.0
23.0,100000000.0,-1.0,319.1177851938917,169.10639261340353,1.0,1.0
23.0,100000000.0,-1.0,274.0918147219119,155.06775213570256,2.0,2.0
23.0,100000000.0,366.18944963930227,366.1894496393024,182.3257410632448,0.0,0.0
23.0,100000000.0,366.8300504070899,366.8300504070899,182.96634183103242,0.0,0.0
23.0,100000000.0,-1.0,320.8582729648165,170.8468803843283,1.0,1.0
23.0,100000000.0,-1.0,321.03750719523,171.33754748956858,1.0,1.0
23.0,100000000.0,-1.0,321.6677225814085,165.5892053822794,1.0,1.0
23.0,100000000.0,368.0318443467431,368.03184434674296,184.16813577068555,0.0,0.0
23.0,100000000.0,-1.0,322.2693437319608,173.11634571971518,1.0,1.0
23.0,100000000.0,-1.0,230.7844534498016,138.54702550067123,3.0,3.0
23.0,100000000.0,-1.0,322.82862202784185,165.2131164874212,1.0,1.0
23.0,100000000.0,-1.0,322.8341912397678,173.34409338294287,1.0,1.0
23.0,100000000.0,-1.0,322.91430441851423,172.1243747558868,1.0,1.0
23.0,100000000.0,-1.0,277.248486126643,157.04486271419952,2.0,2.0
23.0,100000000.0,-1.0,323.59530543778396,173.4458994446219,1.0,1.0
